"filename", "language", "JSON", "PHP", "XML", "Markdown", "YAML", "Makefile", "SQL", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-ms.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-nb.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 4, 3, 27
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-nl.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 5, 3, 30
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-pl.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 4, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-pt_br.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 8, 3, 31
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-ro.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 5, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-ru.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-sk.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 6, 3, 31
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-sl.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 7, 3, 32
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-sr_latn.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-sv.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-tl.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-tr.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 9, 3, 32
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-uk.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 6, 3, 29
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-vi.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 6, 3, 28
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\language\phpmailer.lang-zh_cn.php", "PHP", 0, 20, 0, 0, 0, 0, 0, 0, 7, 3, 30
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\src\Exception.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 28, 4, 41
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\src\OAuth.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 79, 15, 140
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\src\PHPMailer.php", "PHP", 0, 2758, 0, 0, 0, 0, 0, 0, 1843, 370, 4971
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\src\POP3.php", "PHP", 0, 171, 0, 0, 0, 0, 0, 0, 229, 49, 449
"c:\xampp\htdocs\bloodbank\app\lib\Email\vendor\phpmailer\phpmailer\src\SMTP.php", "PHP", 0, 718, 0, 0, 0, 0, 0, 0, 598, 141, 1457
"c:\xampp\htdocs\bloodbank\app\lib\Email\verify.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 3, 7, 50
"c:\xampp\htdocs\bloodbank\app\lib\Google Maps\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"c:\xampp\htdocs\bloodbank\app\lib\Google Maps\action.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\xampp\htdocs\bloodbank\app\lib\Google Maps\db\DbConnect.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\xampp\htdocs\bloodbank\app\lib\Google Maps\db\education.sql", "SQL", 0, 0, 0, 0, 0, 0, 32, 0, 30, 14, 76
"c:\xampp\htdocs\bloodbank\app\lib\Google Maps\education.php", "PHP", 0, 53, 0, 0, 0, 0, 0, 0, 0, 14, 67
"c:\xampp\htdocs\bloodbank\app\lib\Google Maps\index.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 1, 4, 46
"c:\xampp\htdocs\bloodbank\app\lib\Google Maps\js\googlemap.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 33, 34, 12, 79
"c:\xampp\htdocs\bloodbank\app\lib\NIC\autoload.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4, 8
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\CHANGELOG.md", "Markdown", 0, 0, 0, 27, 0, 0, 0, 0, 0, 25, 52
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\README.md", "Markdown", 0, 0, 0, 30, 0, 0, 0, 0, 0, 10, 40
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\composer.json", "JSON", 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\BitArray.php", "PHP", 0, 218, 0, 0, 0, 0, 0, 0, 88, 67, 373
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\BitMatrix.php", "PHP", 0, 176, 0, 0, 0, 0, 0, 0, 80, 58, 314
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\BitUtils.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 15, 5, 42
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\CharacterSetEci.php", "PHP", 0, 96, 0, 0, 0, 0, 0, 0, 59, 26, 181
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\EcBlock.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 22, 7, 50
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\EcBlocks.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 31, 11, 75
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\ErrorCorrectionLevel.php", "PHP", 0, 35, 0, 0, 0, 0, 0, 0, 17, 12, 64
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\FormatInformation.php", "PHP", 0, 119, 0, 0, 0, 0, 0, 0, 59, 26, 204
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\Mode.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 26, 11, 77
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\ReedSolomonCodec.php", "PHP", 0, 286, 0, 0, 0, 0, 0, 0, 95, 88, 469
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Common\Version.php", "PHP", 0, 474, 0, 0, 0, 0, 0, 0, 83, 40, 597
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Encoder\BlockPair.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 29, 8, 59
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Encoder\ByteMatrix.php", "PHP", 0, 84, 0, 0, 0, 0, 0, 0, 44, 23, 151
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Encoder\Encoder.php", "PHP", 0, 412, 0, 0, 0, 0, 0, 0, 130, 111, 653
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Encoder\MaskUtil.php", "PHP", 0, 188, 0, 0, 0, 0, 0, 0, 47, 37, 272
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Encoder\MatrixUtil.php", "PHP", 0, 332, 0, 0, 0, 0, 0, 0, 106, 76, 514
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Encoder\QrCode.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 54, 20, 142
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Exception\ExceptionInterface.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Exception\InvalidArgumentException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Exception\OutOfBoundsException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Exception\RuntimeException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Exception\UnexpectedValueException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Exception\WriterException.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Color\Alpha.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 9, 12, 58
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Color\Cmyk.php", "PHP", 0, 66, 0, 0, 0, 0, 0, 0, 18, 20, 104
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Color\ColorInterface.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Color\Gray.php", "PHP", 0, 31, 0, 0, 0, 0, 0, 0, 6, 10, 47
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Color\Rgb.php", "PHP", 0, 58, 0, 0, 0, 0, 0, 0, 14, 17, 89
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Eye\CompositeEye.php", "PHP", 0, 22, 0, 0, 0, 0, 0, 0, 9, 8, 39
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Eye\EyeInterface.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 13, 5, 27
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Eye\ModuleEye.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 6, 12, 55
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Eye\SimpleCircleEye.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 6, 8, 55
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Eye\SquareEye.php", "PHP", 0, 40, 0, 0, 0, 0, 0, 0, 6, 8, 54
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\ImageRenderer.php", "PHP", 0, 120, 0, 0, 0, 0, 0, 0, 9, 24, 153
"c:\xampp\htdocs\bloodbank\app\lib\NIC\bacon\bacon-qr-code\src\Renderer\Image\EpsImageBackEnd.php", "PHP", 0, 312, 0, 0, 0, 0, 0, 0, 3, 62, 377
